frame_id,child_frame_id,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
odom,base_link,1651236801,579012864,-23.36096954345703,112.5701904296875,-19.43888258934021,-0.012044282630085945,-0.007362793665379286,-0.913440465927124,-0.4067273736000061
odom,base_link,1651236801,649012736,-23.361082077026367,112.5702896118164,-19.43850874900818,-0.01200258731842041,-0.007317089010030031,-0.913441002368927,-0.40672844648361206
odom,base_link,1651236801,739012608,-23.361230850219727,112.57047271728516,-19.438257455825806,-0.011975636705756187,-0.00729157542809844,-0.9134412407875061,-0.40672898292541504
odom,base_link,1651236801,779012608,-23.36124038696289,112.57048797607422,-19.438194513320923,-0.011971211060881615,-0.007291299756616354,-0.9134416580200195,-0.40672844648361206
odom,base_link,1651236801,799012608,-23.361238479614258,112.57048797607422,-19.438170909881592,-0.011969542130827904,-0.00729138171300292,-0.91344153881073,-0.40672844648361206
odom,base_link,1651236801,859012608,-23.361238479614258,112.57048034667969,-19.438122510910034,-0.011965876445174217,-0.00729147857055068,-0.9134415984153748,-0.40672874450683594
odom,base_link,1651236801,869012480,-23.361238479614258,112.57048034667969,-19.438116788864136,-0.011965414509177208,-0.007291476707905531,-0.9134414792060852,-0.40672871470451355
odom,base_link,1651236801,959012608,-23.361236572265625,112.57048034667969,-19.43808913230896,-0.01196257770061493,-0.007291401270776987,-0.9134414196014404,-0.40672892332077026
odom,base_link,1651236802,69012480,-23.361236572265625,112.57048034667969,-19.438080549240112,-0.0119611956179142,-0.007291511166840792,-0.9134413599967957,-0.40672919154167175
odom,base_link,1651236802,99012352,-23.361236572265625,112.57048034667969,-19.43808078765869,-0.011961027979850769,-0.0072915502823889256,-0.9134414196014404,-0.4067292809486389
odom,base_link,1651236802,149012224,-23.361236572265625,112.57048034667969,-19.43808126449585,-0.011960864067077637,-0.007291626650840044,-0.9134413003921509,-0.4067293703556061
odom,base_link,1651236802,189012224,-23.361236572265625,112.57048034667969,-19.438081979751587,-0.011960797011852264,-0.00729170860722661,-0.9134413003921509,-0.406729519367218
odom,base_link,1651236802,219012352,-23.361236572265625,112.57048034667969,-19.438082933425903,-0.011960769072175026,-0.007291765417903662,-0.9134411811828613,-0.4067295491695404
